Day	Hour[UTC]	Speed[m/s]	AirTemp[°C]	WindDir[°]
2008-01-01	00:00	1.04	-2.36	210.5
2008-01-01	00:10	0.93	-2.38	199.9
2008-01-01	00:20	0.89	-2.40	194.6
2008-01-01	00:30	0.84	-2.44	182.2
2008-01-01	00:40	0.83	-2.46	176.2
2008-01-01	00:50	0.83	-2.50	168.5
2008-01-01	01:00	0.83	-2.51	165.5
2008-01-01	01:10	0.82	-2.55	159.7
2008-01-01	01:20	0.82	-2.56	156.5
2008-01-01	01:30	0.81	-2.58	148.8
2008-01-01	01:40	0.81	-2.59	144.8
2008-01-01	01:50	0.79	-2.61	131.9
2008-01-01	02:00	0.83	-2.61	125.0
2008-01-01	02:10	1.00	-2.63	116.6
2008-01-01	02:20	1.11	-2.63	115.1
2008-01-01	02:30	1.43	-2.66	116.3
2008-01-01	02:40	1.59	-2.68	117.8
2008-01-01	02:50	1.94	-2.72	121.5
2008-01-01	03:00	2.11	-2.73	123.1
2008-01-01	03:10	2.26	-2.75	124.7
2008-01-01	03:20	2.54	-2.79	126.8
2008-01-01	03:30	2.63	-2.80	127.5
2008-01-01	03:40	2.80	-2.79	127.9
2008-01-01	03:50	2.91	-2.79	127.9
2008-01-01	04:00	3.00	-2.81	127.3
2008-01-01	04:10	3.07	-2.82	126.4
2008-01-01	04:20	3.22	-2.84	124.8
2008-01-01	04:30	3.26	-2.86	123.8
2008-01-01	04:40	3.31	-2.89	121.2
2008-01-01	04:50	3.31	-2.91	120.0
2008-01-01	05:00	3.28	-2.96	116.6
2008-01-01	05:10	3.24	-2.99	114.4
2008-01-01	05:20	3.15	-3.04	110.2
2008-01-01	05:30	3.17	-3.06	108.8
2008-01-01	05:40	3.18	-3.11	105.6
2008-01-01	05:50	3.21	-3.14	104.4
2008-01-01	06:00	3.34	-3.20	103.1
2008-01-01	06:10	3.43	-3.23	102.6
2008-01-01	06:20	3.65	-3.29	102.1
2008-01-01	06:30	3.76	-3.33	101.8
2008-01-01	06:40	4.00	-3.38	101.8
2008-01-01	06:50	4.13	-3.40	101.8
2008-01-01	07:00	4.38	-3.47	101.7
2008-01-01	07:10	4.49	-3.50	101.7
2008-01-01	07:20	4.70	-3.58	101.8
2008-01-01	07:30	4.80	-3.62	101.9
2008-01-01	07:40	4.88	-3.66	101.9
2008-01-01	07:50	5.02	-3.73	102.0
2008-01-01	08:00	5.07	-3.77	102.0
2008-01-01	08:10	5.13	-3.85	102.2
2008-01-01	08:20	5.16	-3.88	102.3
2008-01-01	08:30	5.20	-3.94	102.4
2008-01-01	08:40	5.22	-3.97	102.2
2008-01-01	08:50	5.27	-4.02	102.2
